ИНН,Зона,Дата_утверждения,prev_zone,next_zone,next_date,zone_change,step
109401639,Ч,2022-02-18 08:45:09,З,Ж,2022-04-03 08:45:09,True,4
109401639,Ж,2022-04-03 08:45:09,Ч,К,2022-08-17 08:45:09,True,5
109401639,К,2022-08-17 08:45:09,Ж,,,True,6
110249264,Ж,2023-01-26 16:36:08,,З,2023-06-06 16:36:08,True,1
110249264,З,2023-06-06 16:36:08,Ж,Ж,2023-11-04 16:36:08,True,2
110249264,Ж,2023-11-04 16:36:08,З,,,True,3
111355483,Ж,2020-12-30 18:52:16,,К,2021-02-22 18:52:16,True,1
111355483,К,2021-02-22 18:52:16,Ж,Ж,2021-04-29 18:52:16,True,2
111355483,Ж,2021-04-29 18:52:16,К,Ч,2021-08-13 18:52:16,True,3
111355483,Ч,2021-08-13 18:52:16,Ж,,,True,4
111824777,Ж,2021-06-25 10:49:50,,З,2021-11-05 10:49:50,True,1
111824777,З,2021-11-05 10:49:50,Ж,Ч,2021-12-18 10:49:50,True,2
111824777,Ч,2021-12-18 10:49:50,З,,,True,3
113827772,К,2020-07-23 12:11:12,,Ч,2020-11-01 12:11:12,True,1
113827772,Ч,2020-11-01 12:11:12,К,Ж,2021-04-13 12:11:12,True,2
113827772,Ж,2021-04-13 12:11:12,Ч,З,2021-06-07 12:11:12,True,3
113827772,З,2021-06-07 12:11:12,Ж,К,2021-09-03 12:11:12,True,4
113827772,К,2021-09-03 12:11:12,З,,,True,5
116504304,К,2020-09-13 09:06:51,,З,2020-12-31 09:06:51,True,1
116504304,З,2020-12-31 09:06:51,К,Ч,2021-03-07 09:06:51,True,2
116504304,Ч,2021-03-07 09:06:51,З,К,2021-07-20 09:06:51,True,3
116504304,К,2021-07-20 09:06:51,Ч,Ж,2021-10-23 09:06:51,True,4
116504304,Ж,2021-10-23 09:06:51,К,,,True,5
117405467,Ж,2021-09-12 06:21:39,,З,2021-10-30 06:21:39,True,1
117405467,З,2021-10-30 06:21:39,Ж,К,2022-01-26 06:21:39,True,2
117405467,К,2022-01-26 06:21:39,З,,,True,3
117597636,Ж,2021-06-22 19:34:54,,Ч,2021-08-01 19:34:54,True,1
117597636,Ч,2021-08-01 19:34:54,Ж,Ж,2021-10-03 19:34:54,True,2
117597636,Ж,2021-10-03 19:34:54,Ч,,,True,3
118182567,Ж,2023-01-21 00:06:49,,Ч,2023-06-14 00:06:49,True,1
118182567,Ч,2023-06-14 00:06:49,Ж,Ж,2023-10-27 00:06:49,True,2
118182567,Ж,2023-10-27 00:06:49,Ч,,,True,3
118743890,Ж,2020-03-21 13:23:23,,Ч,2020-07-17 13:23:23,True,1
118743890,Ч,2020-07-17 13:23:23,Ж,К,2020-12-05 13:23:23,True,2
118743890,К,2020-12-05 13:23:23,Ч,З,2021-02-06 13:23:23,True,3
118743890,З,2021-02-06 13:23:23,К,К,2021-07-03 13:23:23,True,4
118743890,К,2021-07-03 13:23:23,З,З,2021-10-23 13:23:23,True,5
118743890,З,2021-10-23 13:23:23,К,,,True,6
118844574,К,2021-01-24 13:26:01,,З,2021-05-22 13:26:01,True,1
118844574,З,2021-05-22 13:26:01,К,Ж,2021-10-04 13:26:01,True,2
118844574,Ж,2021-10-04 13:26:01,З,,,True,3
121304060,К,2021-05-03 22:52:36,,Ч,2021-08-31 22:52:36,True,1
121304060,Ч,2021-08-31 22:52:36,К,З,2022-01-27 22:52:36,True,2
121304060,З,2022-01-27 22:52:36,Ч,Ж,2022-05-01 22:52:36,True,3
121304060,Ж,2022-05-01 22:52:36,З,К,2022-07-31 22:52:36,True,4
121304060,К,2022-07-31 22:52:36,Ж,,,True,5
122346147,Ж,2022-05-04 05:12:32,,Ч,2022-09-22 05:12:32,True,1
122346147,Ч,2022-09-22 05:12:32,Ж,Ж,2023-01-01 05:12:32,True,2
122346147,Ж,2023-01-01 05:12:32,Ч,З,2023-05-02 05:12:32,True,3
122346147,З,2023-05-02 05:12:32,Ж,Ж,2023-07-08 05:12:32,True,4
122346147,Ж,2023-07-08 05:12:32,З,З,2023-09-12 05:12:32,True,5
122346147,З,2023-09-12 05:12:32,Ж,,,True,6
122748819,З,2020-07-10 17:34:27,,Ч,2020-10-13 17:34:27,True,1
122748819,Ч,2020-10-13 17:34:27,З,З,2021-01-28 17:34:27,True,2
122748819,З,2021-01-28 17:34:27,Ч,,,True,3
124178186,К,2022-08-21 17:29:01,,З,2023-02-10 17:29:01,True,1
124178186,З,2023-02-10 17:29:01,К,К,2023-05-13 17:29:01,True,2
124178186,К,2023-05-13 17:29:01,З,Ж,2023-09-24 17:29:01,True,3
124178186,Ж,2023-09-24 17:29:01,К,З,2023-10-24 17:29:01,True,4
124178186,З,2023-10-24 17:29:01,Ж,,,True,5
126395322,К,2020-11-14 10:38:26,,Ч,2020-12-14 10:38:26,True,1
126395322,Ч,2020-12-14 10:38:26,К,Ж,2021-05-26 10:38:26,True,2
126395322,Ж,2021-05-26 10:38:26,Ч,З,2021-10-02 10:38:26,True,3
126395322,З,2021-10-02 10:38:26,Ж,,,True,4
127669642,З,2022-09-17 01:11:42,,Ж,2022-12-30 01:11:42,True,1
127669642,Ж,2022-12-30 01:11:42,З,З,2023-05-26 01:11:42,True,2
127669642,З,2023-05-26 01:11:42,Ж,Ж,2023-11-01 01:11:42,True,3
127669642,Ж,2023-11-01 01:11:42,З,,,True,4
127718898,Ч,2020-05-10 01:16:53,,З,2020-08-29 01:16:53,True,1
127718898,З,2020-08-29 01:16:53,Ч,К,2020-10-19 01:16:53,True,2
127718898,К,2020-10-19 01:16:53,З,Ж,2021-01-16 01:16:53,True,3
127718898,Ж,2021-01-16 01:16:53,К,,,True,4
128170512,Ч,2021-07-12 12:07:08,,Ж,2021-10-30 12:07:08,True,1
128170512,Ж,2021-10-30 12:07:08,Ч,З,2022-01-13 12:07:08,True,2
128170512,З,2022-01-13 12:07:08,Ж,К,2022-04-15 12:07:08,True,3
128170512,К,2022-04-15 12:07:08,З,,,True,4
128719079,Ж,2022-02-21 22:43:55,,Ч,2022-08-17 22:43:55,True,1
128719079,Ч,2022-08-17 22:43:55,Ж,Ж,2023-01-23 22:43:55,True,2
128719079,Ж,2023-01-23 22:43:55,Ч,З,2023-05-23 22:43:55,True,3
128719079,З,2023-05-23 22:43:55,Ж,Ж,2023-08-18 22:43:55,True,4
128719079,Ж,2023-08-18 22:43:55,З,,,True,5
129172157,З,2022-08-31 20:41:58,,Ж,2023-01-30 20:41:58,True,1
129172157,Ж,2023-01-30 20:41:58,З,З,2023-03-24 20:41:58,True,2
129172157,З,2023-03-24 20:41:58,Ж,К,2023-05-01 20:41:58,True,3
129172157,К,2023-05-01 20:41:58,З,,,True,4
130882141,К,2022-06-06 17:27:28,,Ж,2022-08-27 17:27:28,True,1
130882141,Ж,2022-08-27 17:27:28,К,З,2022-10-26 17:27:28,True,2
130882141,З,2022-10-26 17:27:28,Ж,К,2023-04-07 17:27:28,True,3
130882141,К,2023-04-07 17:27:28,З,З,2023-07-10 17:27:28,True,4
130882141,З,2023-07-10 17:27:28,К,,,True,5
131394047,К,2021-01-05 00:45:36,,Ж,2021-05-19 00:45:36,True,1
131394047,Ж,2021-05-19 00:45:36,К,Ч,2021-08-25 00:45:36,True,2
131394047,Ч,2021-08-25 00:45:36,Ж,К,2021-11-05 00:45:36,True,3
131394047,К,2021-11-05 00:45:36,Ч,Ж,2022-01-12 00:45:36,True,4
131394047,Ж,2022-01-12 00:45:36,К,,,True,5
132932898,Ж,2020-12-07 22:13:25,,К,2021-04-08 22:13:25,True,1
132932898,К,2021-04-08 22:13:25,Ж,Ч,2021-09-11 22:13:25,True,2
132932898,Ч,2021-09-11 22:13:25,К,З,2022-01-13 22:13:25,True,3
132932898,З,2022-01-13 22:13:25,Ч,Ж,2022-03-08 22:13:25,True,4
132932898,Ж,2022-03-08 22:13:25,З,,,True,5
133777303,З,2021-02-21 23:29:54,,Ж,2021-05-21 23:29:54,True,1
133777303,Ж,2021-05-21 23:29:54,З,К,2021-08-17 23:29:54,True,2
133777303,К,2021-08-17 23:29:54,Ж,Ч,2021-11-18 23:29:54,True,3
133777303,Ч,2021-11-18 23:29:54,К,К,2022-01-23 23:29:54,True,4
133777303,К,2022-01-23 23:29:54,Ч,,,True,5
134207398,Ч,2020-11-21 15:29:41,,З,2021-02-07 15:29:41,True,1
134207398,З,2021-02-07 15:29:41,Ч,Ч,2021-04-14 15:29:41,True,2
134207398,Ч,2021-04-14 15:29:41,З,К,2021-06-05 15:29:41,True,3
134207398,К,2021-06-05 15:29:41,Ч,Ж,2021-08-12 15:29:41,True,4
134207398,Ж,2021-08-12 15:29:41,К,Ч,2021-09-20 15:29:41,True,5
134207398,Ч,2021-09-20 15:29:41,Ж,,,True,6
136254837,З,2021-09-29 12:36:33,,Ч,2022-02-07 12:36:33,True,1
136254837,Ч,2022-02-07 12:36:33,З,К,2022-06-14 12:36:33,True,2
136254837,К,2022-06-14 12:36:33,Ч,Ч,2022-12-03 12:36:33,True,3
136254837,Ч,2022-12-03 12:36:33,К,К,2023-03-21 12:36:33,True,4
136254837,К,2023-03-21 12:36:33,Ч,З,2023-06-15 12:36:33,True,5
136254837,З,2023-06-15 12:36:33,К,,,True,6
136682315,Ж,2021-07-17 09:27:00,,К,2021-12-07 09:27:00,True,1
136682315,К,2021-12-07 09:27:00,Ж,Ж,2022-01-28 09:27:00,True,2
136682315,Ж,2022-01-28 09:27:00,К,,,True,3
137977853,Ч,2022-09-22 17:26:16,,К,2023-01-14 17:26:16,True,1
137977853,К,2023-01-14 17:26:16,Ч,З,2023-06-15 17:26:16,True,2
137977853,З,2023-06-15 17:26:16,К,,,True,3
141183100,Ж,2022-02-08 14:01:45,,Ч,2022-07-06 14:01:45,True,1
141183100,Ч,2022-07-06 14:01:45,Ж,К,2022-09-07 14:01:45,True,2
141183100,К,2022-09-07 14:01:45,Ч,З,2023-01-08 14:01:45,True,3
141183100,З,2023-01-08 14:01:45,К,Ч,2023-05-05 14:01:45,True,4
141183100,Ч,2023-05-05 14:01:45,З,,,True,5
142868279,К,2021-02-16 23:19:27,,Ж,2021-04-05 23:19:27,True,1
142868279,Ж,2021-04-05 23:19:27,К,К,2021-08-06 23:19:27,True,2
142868279,К,2021-08-06 23:19:27,Ж,Ч,2021-12-29 23:19:27,True,3
142868279,Ч,2021-12-29 23:19:27,К,К,2022-04-06 23:19:27,True,4
142868279,К,2022-04-06 23:19:27,Ч,З,2022-06-12 23:19:27,True,5
142868279,З,2022-06-12 23:19:27,К,,,True,6
143022951,З,2020-09-02 15:54:09,,Ж,2020-12-26 15:54:09,True,1
143022951,Ж,2020-12-26 15:54:09,З,Ч,2021-03-09 15:54:09,True,2
143022951,Ч,2021-03-09 15:54:09,Ж,З,2021-06-20 15:54:09,True,3
143022951,З,2021-06-20 15:54:09,Ч,,,True,4
145908041,Ж,2022-01-25 08:10:42,,З,2022-07-16 08:10:42,True,1
145908041,З,2022-07-16 08:10:42,Ж,Ж,2022-10-02 08:10:42,True,2
145908041,Ж,2022-10-02 08:10:42,З,З,2023-02-02 08:10:42,True,3
145908041,З,2023-02-02 08:10:42,Ж,Ж,2023-05-25 08:10:42,True,4
145908041,Ж,2023-05-25 08:10:42,З,Ч,2023-11-12 08:10:42,True,5
145908041,Ч,2023-11-12 08:10:42,Ж,,,True,6
146601734,З,2021-03-30 17:37:36,,Ж,2021-09-13 17:37:36,True,1
146601734,Ж,2021-09-13 17:37:36,З,К,2022-02-22 17:37:36,True,2
146601734,К,2022-02-22 17:37:36,Ж,З,2022-06-10 17:37:36,True,3
146601734,З,2022-06-10 17:37:36,К,К,2022-10-21 17:37:36,True,4
146601734,К,2022-10-21 17:37:36,З,Ч,2022-12-08 17:37:36,True,5
146601734,Ч,2022-12-08 17:37:36,К,,,True,6
146789202,К,2022-07-22 02:28:00,,Ч,2022-10-29 02:28:00,True,1
146789202,Ч,2022-10-29 02:28:00,К,К,2023-03-08 02:28:00,True,2
146789202,К,2023-03-08 02:28:00,Ч,Ч,2023-07-17 02:28:00,True,3
146789202,Ч,2023-07-17 02:28:00,К,,,True,4
147315686,Ж,2023-04-12 18:59:03,,К,2023-09-14 18:59:03,True,1
147315686,К,2023-09-14 18:59:03,Ж,,,True,2
147737816,Ж,2020-10-25 22:25:36,,З,2020-12-17 22:25:36,True,1
147737816,З,2020-12-17 22:25:36,Ж,Ч,2021-03-14 22:25:36,True,2
147737816,Ч,2021-03-14 22:25:36,З,,,True,3
148595065,Ч,2020-11-29 04:08:37,,З,2021-04-21 04:08:37,True,1
148595065,З,2021-04-21 04:08:37,Ч,К,2021-06-04 04:08:37,True,2
148595065,К,2021-06-04 04:08:37,З,Ч,2021-09-29 04:08:37,True,3
148595065,Ч,2021-09-29 04:08:37,К,,,True,4
149686328,Ч,2021-04-20 12:20:19,,Ж,2021-09-02 12:20:19,True,1
149686328,Ж,2021-09-02 12:20:19,Ч,З,2021-10-28 12:20:19,True,2
149686328,З,2021-10-28 12:20:19,Ж,,,True,3
150158692,З,2022-09-11 11:12:19,,Ж,2022-12-08 11:12:19,True,1
150158692,Ж,2022-12-08 11:12:19,З,Ч,2023-04-10 11:12:19,True,2
150158692,Ч,2023-04-10 11:12:19,Ж,Ж,2023-09-20 11:12:19,True,3
150158692,Ж,2023-09-20 11:12:19,Ч,К,2023-10-28 11:12:19,True,4
150158692,К,2023-10-28 11:12:19,Ж,,,True,5
153029140,З,2023-04-30 03:23:15,,Ж,2023-08-12 03:23:15,True,1
153029140,Ж,2023-08-12 03:23:15,З,Ч,2023-09-29 03:23:15,True,2
153029140,Ч,2023-09-29 03:23:15,Ж,,,True,3
154168339,Ж,2021-07-22 01:29:31,,К,2021-12-30 01:29:31,True,1
154168339,К,2021-12-30 01:29:31,Ж,Ч,2022-06-16 01:29:31,True,2
154168339,Ч,2022-06-16 01:29:31,К,,,True,3
154625602,Ж,2022-07-16 03:23:21,,Ч,2022-11-02 03:23:21,True,1
154625602,Ч,2022-11-02 03:23:21,Ж,Ж,2023-04-22 03:23:21,True,2
154625602,Ж,2023-04-22 03:23:21,Ч,,,True,3
155568167,К,2021-04-12 10:32:43,,З,2021-07-26 10:32:43,True,1
155568167,З,2021-07-26 10:32:43,К,К,2022-01-18 10:32:43,True,2
155568167,К,2022-01-18 10:32:43,З,Ч,2022-07-14 10:32:43,True,3
155568167,Ч,2022-07-14 10:32:43,К,З,2022-12-09 10:32:43,True,4
155568167,З,2022-12-09 10:32:43,Ч,К,2023-02-05 10:32:43,True,5
155568167,К,2023-02-05 10:32:43,З,,,True,6
158692032,Ч,2021-08-25 11:07:47,,К,2021-11-23 11:07:47,True,1
158692032,К,2021-11-23 11:07:47,Ч,Ч,2022-03-31 11:07:47,True,2
158692032,Ч,2022-03-31 11:07:47,К,Ж,2022-08-08 11:07:47,True,3
158692032,Ж,2022-08-08 11:07:47,Ч,Ч,2022-10-24 11:07:47,True,4
158692032,Ч,2022-10-24 11:07:47,Ж,З,2023-03-23 11:07:47,True,5
158692032,З,2023-03-23 11:07:47,Ч,,,True,6
159739592,К,2021-05-12 06:36:16,,З,2021-10-23 06:36:16,True,1
159739592,З,2021-10-23 06:36:16,К,К,2021-11-26 06:36:16,True,2
159739592,К,2021-11-26 06:36:16,З,,,True,3
160926809,К,2020-06-18 07:03:34,,Ж,2020-10-03 07:03:34,True,1
160926809,Ж,2020-10-03 07:03:34,К,З,2021-02-10 07:03:34,True,2
160926809,З,2021-02-10 07:03:34,Ж,К,2021-05-20 07:03:34,True,3
160926809,К,2021-05-20 07:03:34,З,,,True,4
161310270,К,2021-01-02 02:16:49,,Ж,2021-05-21 02:16:49,True,1
161310270,Ж,2021-05-21 02:16:49,К,К,2021-06-26 02:16:49,True,2
161310270,К,2021-06-26 02:16:49,Ж,Ж,2021-12-07 02:16:49,True,3
161310270,Ж,2021-12-07 02:16:49,К,З,2022-05-17 02:16:49,True,4
161310270,З,2022-05-17 02:16:49,Ж,К,2022-11-02 02:16:49,True,5
161310270,К,2022-11-02 02:16:49,З,,,True,6
161678671,З,2022-07-29 18:05:24,,Ч,2022-09-18 18:05:24,True,1
161678671,Ч,2022-09-18 18:05:24,З,З,2022-10-30 18:05:24,True,2
161678671,З,2022-10-30 18:05:24,Ч,Ж,2023-02-13 18:05:24,True,3
161678671,Ж,2023-02-13 18:05:24,З,Ч,2023-03-19 18:05:24,True,4
161678671,Ч,2023-03-19 18:05:24,Ж,З,2023-06-11 18:05:24,True,5
161678671,З,2023-06-11 18:05:24,Ч,,,True,6
162939439,К,2020-05-23 15:09:27,,Ж,2020-09-08 15:09:27,True,1
162939439,Ж,2020-09-08 15:09:27,К,Ч,2021-01-27 15:09:27,True,2
162939439,Ч,2021-01-27 15:09:27,Ж,З,2021-05-13 15:09:27,True,3
162939439,З,2021-05-13 15:09:27,Ч,Ж,2021-09-07 15:09:27,True,4
162939439,Ж,2021-09-07 15:09:27,З,,,True,5
163469904,З,2020-08-16 21:42:09,,Ж,2021-01-11 21:42:09,True,1
163469904,Ж,2021-01-11 21:42:09,З,З,2021-05-25 21:42:09,True,2
163469904,З,2021-05-25 21:42:09,Ж,,,True,3
164582252,К,2021-12-20 15:17:19,,З,2022-05-08 15:17:19,True,1
164582252,З,2022-05-08 15:17:19,К,Ч,2022-07-29 15:17:19,True,2
164582252,Ч,2022-07-29 15:17:19,З,,,True,3
165487753,З,2022-05-21 16:41:25,,Ч,2022-11-03 16:41:25,True,1
165487753,Ч,2022-11-03 16:41:25,З,З,2023-03-25 16:41:25,True,2
165487753,З,2023-03-25 16:41:25,Ч,,,True,3
166261126,З,2022-10-06 16:41:32,,К,2023-02-28 16:41:32,True,1
166261126,К,2023-02-28 16:41:32,З,З,2023-04-11 16:41:32,True,2
166261126,З,2023-04-11 16:41:32,К,Ж,2023-07-30 16:41:32,True,3
166261126,Ж,2023-07-30 16:41:32,З,,,True,4
166971462,Ч,2021-08-27 19:39:50,,Ж,2021-11-30 19:39:50,True,1
166971462,Ж,2021-11-30 19:39:50,Ч,Ч,2022-02-13 19:39:50,True,2
166971462,Ч,2022-02-13 19:39:50,Ж,К,2022-04-26 19:39:50,True,3
166971462,К,2022-04-26 19:39:50,Ч,,,True,4
168065489,З,2022-04-15 10:04:52,,Ч,2022-10-05 10:04:52,True,1
168065489,Ч,2022-10-05 10:04:52,З,Ж,2023-01-23 10:04:52,True,2
168065489,Ж,2023-01-23 10:04:52,Ч,К,2023-06-08 10:04:52,True,3
168065489,К,2023-06-08 10:04:52,Ж,З,2023-09-04 10:04:52,True,4
168065489,З,2023-09-04 10:04:52,К,К,2023-10-09 10:04:52,True,5
168065489,К,2023-10-09 10:04:52,З,,,True,6
168071394,Ч,2021-08-27 14:04:20,,Ж,2021-12-31 14:04:20,True,1
168071394,Ж,2021-12-31 14:04:20,Ч,К,2022-05-23 14:04:20,True,2
168071394,К,2022-05-23 14:04:20,Ж,Ч,2022-10-23 14:04:20,True,3
168071394,Ч,2022-10-23 14:04:20,К,З,2022-12-10 14:04:20,True,4
168071394,З,2022-12-10 14:04:20,Ч,Ч,2023-04-19 14:04:20,True,5
168071394,Ч,2023-04-19 14:04:20,З,,,True,6
168246333,Ч,2022-09-01 01:43:53,,З,2023-01-27 01:43:53,True,1
168246333,З,2023-01-27 01:43:53,Ч,К,2023-03-07 01:43:53,True,2
168246333,К,2023-03-07 01:43:53,З,Ч,2023-08-27 01:43:53,True,3
168246333,Ч,2023-08-27 01:43:53,К,,,True,4
168967004,Ж,2021-09-27 04:58:18,,Ч,2022-02-26 04:58:18,True,1
168967004,Ч,2022-02-26 04:58:18,Ж,Ж,2022-04-16 04:58:18,True,2
168967004,Ж,2022-04-16 04:58:18,Ч,,,True,3
169258883,Ч,2022-08-30 10:15:45,,З,2022-11-29 10:15:45,True,1
169258883,З,2022-11-29 10:15:45,Ч,Ж,2023-04-17 10:15:45,True,2
169258883,Ж,2023-04-17 10:15:45,З,Ч,2023-10-02 10:15:45,True,3
169258883,Ч,2023-10-02 10:15:45,Ж,,,True,4
169575452,Ж,2020-06-27 15:46:08,,З,2020-08-14 15:46:08,True,1
169575452,З,2020-08-14 15:46:08,Ж,Ж,2020-12-24 15:46:08,True,2
169575452,Ж,2020-12-24 15:46:08,З,К,2021-05-13 15:46:08,True,3
169575452,К,2021-05-13 15:46:08,Ж,,,True,4
171322704,Ч,2022-05-27 12:54:43,,К,2022-10-12 12:54:43,True,1
171322704,К,2022-10-12 12:54:43,Ч,Ж,2023-01-28 12:54:43,True,2
171322704,Ж,2023-01-28 12:54:43,К,З,2023-03-22 12:54:43,True,3
171322704,З,2023-03-22 12:54:43,Ж,,,True,4
173149148,Ж,2022-07-09 11:09:34,,З,2022-10-19 11:09:34,True,1
173149148,З,2022-10-19 11:09:34,Ж,Ж,2023-03-01 11:09:34,True,2
173149148,Ж,2023-03-01 11:09:34,З,З,2023-07-17 11:09:34,True,3
173149148,З,2023-07-17 11:09:34,Ж,,,True,4
173985663,Ж,2022-09-12 10:33:18,,Ч,2023-01-25 10:33:18,True,1
173985663,Ч,2023-01-25 10:33:18,Ж,Ж,2023-04-17 10:33:18,True,2
173985663,Ж,2023-04-17 10:33:18,Ч,Ч,2023-08-03 10:33:18,True,3
173985663,Ч,2023-08-03 10:33:18,Ж,З,2023-11-27 10:33:18,True,4
173985663,З,2023-11-27 10:33:18,Ч,,,True,5
174085234,Ж,2020-09-15 03:10:23,,З,2021-02-13 03:10:23,True,1
174085234,З,2021-02-13 03:10:23,Ж,К,2021-07-27 03:10:23,True,2
174085234,К,2021-07-27 03:10:23,З,Ж,2021-10-03 03:10:23,True,3
174085234,Ж,2021-10-03 03:10:23,К,Ч,2021-12-11 03:10:23,True,4
174085234,Ч,2021-12-11 03:10:23,Ж,,,True,5
175183384,З,2022-06-30 02:07:14,,Ч,2022-12-02 02:07:14,True,1
175183384,Ч,2022-12-02 02:07:14,З,К,2023-02-04 02:07:14,True,2
175183384,К,2023-02-04 02:07:14,Ч,,,True,3
175270000,Ж,2022-08-22 01:36:24,,Ч,2023-01-06 01:36:24,True,1
175270000,Ч,2023-01-06 01:36:24,Ж,З,2023-06-25 01:36:24,True,2
175270000,З,2023-06-25 01:36:24,Ч,К,2023-09-23 01:36:24,True,3
175270000,К,2023-09-23 01:36:24,З,Ж,2023-12-17 01:36:24,True,4
175270000,Ж,2023-12-17 01:36:24,К,,,True,5
177372893,Ч,2022-11-01 18:52:14,,З,2023-02-10 18:52:14,True,1
177372893,З,2023-02-10 18:52:14,Ч,Ж,2023-03-23 18:52:14,True,2
177372893,Ж,2023-03-23 18:52:14,З,,,True,3
177454795,З,2021-04-21 16:36:48,,Ч,2021-06-26 16:36:48,True,1
177454795,Ч,2021-06-26 16:36:48,З,З,2021-11-10 16:36:48,True,2
177454795,З,2021-11-10 16:36:48,Ч,Ч,2022-02-05 16:36:48,True,3
177454795,Ч,2022-02-05 16:36:48,З,,,True,4
178502567,К,2020-10-27 03:44:17,,Ч,2021-04-24 03:44:17,True,1
178502567,Ч,2021-04-24 03:44:17,К,З,2021-08-23 03:44:17,True,2
178502567,З,2021-08-23 03:44:17,Ч,К,2022-02-12 03:44:17,True,3
178502567,К,2022-02-12 03:44:17,З,Ч,2022-04-26 03:44:17,True,4
178502567,Ч,2022-04-26 03:44:17,К,,,True,5
179415520,К,2022-07-17 10:48:23,,Ч,2022-11-16 10:48:23,True,1
179415520,Ч,2022-11-16 10:48:23,К,К,2023-03-28 10:48:23,True,2
179415520,К,2023-03-28 10:48:23,Ч,З,2023-08-11 10:48:23,True,3
179415520,З,2023-08-11 10:48:23,К,,,True,4
179834008,Ж,2020-03-31 12:41:40,,Ч,2020-09-03 12:41:40,True,1
179834008,Ч,2020-09-03 12:41:40,Ж,З,2020-11-18 12:41:40,True,2
179834008,З,2020-11-18 12:41:40,Ч,Ч,2021-02-20 12:41:40,True,3
179834008,Ч,2021-02-20 12:41:40,З,К,2021-04-28 12:41:40,True,4
179834008,К,2021-04-28 12:41:40,Ч,Ж,2021-09-06 12:41:40,True,5
179834008,Ж,2021-09-06 12:41:40,К,,,True,6
181128195,Ж,2021-07-20 16:03:50,,К,2021-11-25 16:03:50,True,1
181128195,К,2021-11-25 16:03:50,Ж,З,2022-03-14 16:03:50,True,2
181128195,З,2022-03-14 16:03:50,К,,,True,3
181814129,К,2022-12-28 17:04:35,,Ж,2023-03-05 17:04:35,True,1
181814129,Ж,2023-03-05 17:04:35,К,З,2023-04-14 17:04:35,True,2
181814129,З,2023-04-14 17:04:35,Ж,Ж,2023-05-16 17:04:35,True,3
181814129,Ж,2023-05-16 17:04:35,З,К,2023-08-28 17:04:35,True,4
181814129,К,2023-08-28 17:04:35,Ж,,,True,5
